"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","X"
"1",63,128,166,2,23,2,157,240,11,43,0,85,41,0,147,10,3,76,21,84,112,2,16,0,47,9,18
"2",19,179,159,2,279,4,35,0,1,5,216,2,1,7,1,124,3,22,231,59,2,1,7,3,1,2,58
"3",435,62,21,1,3,1,0,0,2,164,1,6,1,1,44,0,1,6,1,1,38,122,1,2,33,1,120
"4",282,18,3,3,29,16,4,1,206,0,1,84,161,1,1,31,2,3,0,92,1,0,84,1,2,1,5
"5",4,3,423,131,2,186,1,2,0,0,1,0,27,11,5,0,89,1,0,0,0,0,1,0,0,49,1
"6",34,17,20,195,8,18,3,0,1,0,215,2,75,33,0,9,2,1,33,0,1,0,6,0,0,8,2
"LGb",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
"LGc",0,0,0,1,0,0,3,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0
"LGa",0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"LGf",0,0,0,0,0,0,0,0,0,0,0,1,0,56,0,0,0,1,0,1,0,0,0,0,0,0,0
"LGh",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGg",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
