"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","Z"
"1",1824,9,0,2,3,1,0,13,9,1,2,0,0,3,2,1,0,0,1,0,1,0,1,0,0,2,0,3,0,0,1
"2",3,3,674,1,3,489,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,5,0,2
"3",8,1076,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,0,1,0,0,0
"4",9,0,4,702,0,0,1,5,256,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5",4,4,2,0,822,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"6",5,0,0,3,0,0,0,459,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
"7",1,1,0,0,0,2,431,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"8",1,3,1,0,0,0,0,1,0,449,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,0,0,1,0,0,0,0,2,0,376,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
"10",0,0,0,0,1,0,0,0,0,1,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"11",0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"12",4,1,0,1,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"13",1,0,1,5,0,0,0,0,0,0,1,0,0,7,293,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"14",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"15",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,1,0,0,0,0,0
"18",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,255,1,0,0,0,0,0,0,0,0,0,0
"19",0,0,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,262,0,0,7,0,0,0,0,0,0,0
"20",0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,295,0,3,0,0,0,0,0,0,0
"21",1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0
"22",1,0,0,0,7,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
"23",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0
"24",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,146,0,0,0,0,0
"25",7,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,52,0,0,0,2
"26",8,5,0,0,1,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0
"27",2,0,8,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0
"28",1,0,0,1,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,185,1
"W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Z",2,20,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,549
