"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","X"
"1",26,6,4,239,71,281,183,10,9,8,7,3,3,8,64,11,262,1,118,51,4,0,4,0,0,147,0,313,47,0,1,167
"2",52,41,1,0,52,1,8,2,3,253,2,3,2,3,297,3,1,1,2,131,1,69,0,1,1,1,13,0,0,71,123,8
"3",4,2,1,26,1,6,0,169,287,4,8,0,1,3,1,4,0,0,1,85,53,3,3,2,23,0,1,0,1,1,0,3
"4",7,193,331,1,0,11,0,0,0,2,2,0,1,5,29,1,0,0,1,1,0,21,1,0,0,0,86,1,1,0,0,39
"5",169,0,0,0,0,0,120,1,0,1,0,239,5,1,19,1,0,0,0,2,0,4,1,334,2,0,1,0,0,0,0,11
"6",0,0,1,217,0,4,0,2,4,3,4,0,1,16,0,167,0,2,0,4,0,1,0,0,2,1,0,1,79,0,0,1
"7",2,2,0,1,0,98,0,0,0,4,0,0,0,0,0,5,0,279,30,5,0,1,0,0,0,13,0,0,0,1,0,4
"8",469,4,5,0,2,0,3,0,0,1,0,0,0,0,9,0,11,0,1,0,3,0,0,0,19,0,1,1,0,0,0,0
"9",1,0,2,2,1,0,5,1,2,1,0,0,0,0,1,1,5,1,2,1,0,0,0,0,0,1,1,0,0,2,1,205
"10",1,122,0,0,271,5,1,0,0,1,1,0,2,0,5,0,1,0,0,1,0,1,1,2,1,0,0,0,0,27,0,11
"11",0,1,0,2,8,80,2,5,0,2,3,2,2,1,1,87,1,14,158,0,0,1,0,0,0,7,0,0,0,0,0,2
"12",352,0,0,1,4,1,0,0,1,2,0,1,2,0,0,0,0,2,1,8,0,2,1,0,0,0,0,0,0,0,0,2
"13",5,1,263,0,1,2,5,0,0,31,0,6,0,0,0,1,0,1,0,0,0,2,1,1,1,0,3,0,0,0,0,1
"14",2,1,2,0,2,0,1,0,0,2,0,0,1,4,1,261,0,0,0,0,1,0,17,0,0,0,0,1,1,1,0,2
"15",1,1,3,0,0,0,0,0,0,1,1,0,0,272,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
"16",2,0,0,1,1,0,1,1,1,1,34,0,302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"17",2,0,0,1,1,1,1,296,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"18",0,1,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"19",4,0,0,0,3,1,1,0,0,1,0,0,2,0,1,0,1,0,2,3,0,0,1,0,227,0,0,1,0,0,0,2
"20",0,0,1,0,0,0,4,0,0,0,260,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"21",2,0,1,1,1,3,10,0,0,0,199,0,72,1,1,2,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,1
"22",7,0,1,0,0,0,1,2,2,0,1,11,0,0,0,0,0,0,0,3,0,281,1,0,1,0,0,1,0,0,0,0
"23",3,202,2,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
"24",0,25,0,1,0,0,0,0,0,0,2,0,2,1,13,0,0,0,0,0,0,9,0,0,0,0,40,0,0,0,0,0
"25",0,179,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"26",0,0,0,0,0,0,142,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,44,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,105,0,0,1,0,0,0,1,1,0,0,1,0,1,0,51,1,0,0,0,0,0,0,1,0,29,0,1
"29",1,1,0,3,0,2,3,0,0,0,180,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"30",4,0,0,0,0,1,80,0,0,0,1,0,1,2,1,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,2
"Z",6,3,16,1,8,1,4,44,1,2,0,0,1,148,2,4,0,0,0,2,107,2,152,0,76,0,6,0,1,0,1,5
