"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","X"
"1",14,14,23,27,13,12,414,157,10,900,738,9,437,11,36,5,16,387,28,38,414,16,8,1,12,347,93,202,5,24
"2",74,47,976,9,35,8,75,12,413,16,10,3,9,7,4,375,11,38,878,9,4,7,534,4,132,1,6,62,6,21
"3",21,26,20,9,17,7,1365,24,13,63,17,4,20,402,7,18,339,47,18,224,16,18,134,241,48,0,7,10,30,44
"4",330,521,121,9,4,9,49,13,20,14,9,142,10,27,576,127,10,530,5,7,7,27,23,4,12,5,2,7,403,109
"5",6,3,9,4,10,463,21,20,40,5,55,4,34,50,940,7,113,140,8,13,8,9,8,9,6,5,98,9,133,24
"6",12,8,6,78,6,1,40,512,2,15,6,1,4,3,12,4,4,24,45,2,5,418,1,4,503,2,3,2,2,33
"7",235,215,32,9,4,3,4,2,6,6,67,146,3,6,2,2,9,8,14,0,9,5,3,3,7,1,9,0,2,90
"8",50,9,4,547,795,1,12,2,2,10,7,3,158,10,3,7,0,44,8,1,9,70,4,0,7,2,13,2,90,80
"Un",20,14,31,43,244,6,62,17,5,24,33,1,6,8,31,19,23,170,37,3,5,27,4,0,6,10,8,15,81,53
"X",12,16,2,6,5,6,14,6,5,8,4,3,6,10,6,1,7,17,9,3,12,1,2,7,2,2,5,0,4,388
