"F1","F2","D2","B4","D3","A1","A3","A2","B1","B2","B3","X","C2","D4","D1","E1","C1","E3","E2"
"1",2,0,420,0,0,288,760,17,153,1,936,1,0,256,7,3,3,1,310
"2",519,0,47,2,2,34,2,1,1,642,0,3,44,1,1,716,499,101,0
"3",0,310,0,0,490,309,2,359,2,88,0,1,0,7,1,1,0,2,4
"4",0,1,1,1,0,127,1,2,0,4,4,56,280,0,432,1,626,0,241
"5",0,0,3,0,0,1,33,1,572,0,0,0,0,1,347,0,0,0,0
"6",0,1,0,0,0,36,1,348,2,1,1,4,36,295,1,39,1,401,0
"7",1,0,0,1,0,128,54,0,1,1,7,70,175,0,0,8,170,1,0
"8",0,0,0,648,0,0,2,386,0,2,1,2,85,0,70,3,0,0,0
"Un",0,0,22,89,22,1,16,45,0,0,2,24,17,6,67,24,33,3,42
"X",0,0,0,0,0,3,0,0,0,1,0,257,1,1,0,2,0,0,2
