"1","2","3","4","5","6","LGb","LGc","LGa","LGf","LGh","LGg"
"1",63,52,661,7,651,5,0,0,0,0,0,0
"2",27,13,2,424,4,425,0,0,0,0,0,0
"3",798,34,2,25,5,0,0,0,0,2,0,0
"4",5,8,19,22,356,43,0,0,0,0,0,0
"5",555,29,8,5,5,6,0,0,0,1,0,0
"6",3,1,155,2,4,0,0,0,1,0,0,0
"7",197,19,1,6,0,4,0,0,0,0,0,0
"8",0,7,0,278,1,1,0,0,0,0,0,0
"9",1,4,291,1,3,0,0,0,0,0,0,0
"10",1,3,3,3,1,1,0,0,0,0,0,0
"11",0,3,1,1,11,0,0,52,0,0,0,0
"12",1,265,2,1,2,0,0,0,0,0,0,0
"13",31,155,0,100,1,1,0,0,0,0,0,0
"14",0,5,3,0,0,0,0,0,0,0,0,0
"15",2,1,2,1,1,1,58,0,0,0,0,0
"16",0,32,0,0,0,0,0,0,0,0,0,0
"17",1,5,2,3,1,1,0,0,0,0,0,2
"18",0,222,0,0,2,0,0,0,0,0,0,0
"19",4,6,0,2,2,0,0,1,0,0,0,0
"20",4,2,1,161,0,0,0,1,0,0,0,0
"21",0,0,1,0,0,0,0,0,0,0,3,0
"22",1,1,0,0,0,1,0,0,2,0,0,0
"23",2,0,0,1,0,0,0,0,0,0,0,0
"24",0,0,2,0,0,0,0,0,20,0,0,0
"26",2,4,0,184,3,1,0,0,0,0,0,0
"27",0,3,0,1,2,196,0,0,0,0,0,0
"28",2,0,0,0,1,1,0,0,0,0,0,0
"W",0,2,0,0,0,0,0,0,0,0,0,0
"Z",22,382,2,7,2,0,0,0,0,12,0,0
