"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","X"
"1",16,14,10,9,3,1,14,4,9,5,3,14,901,615,3,4,4,5,3,2,2,19
"2",446,103,9,11,4,2,476,8,16,4,7,9,185,10,16,7,11,2,8,2,3,12
"3",18,521,14,453,4,2,8,298,9,7,6,10,13,6,3,9,5,8,4,1,2,15
"4",8,3,6,4,2,1,235,2,4,231,1,2,52,4,1,1,5,3,3,0,0,8
"5",12,8,330,7,2,0,7,3,6,4,75,3,7,9,4,1,2,6,5,0,1,7
"6",4,118,1,3,1,0,2,1,5,1,0,7,4,1,382,1,3,3,2,0,0,4
"7",5,6,20,4,1,0,10,3,2,4,11,16,7,2,3,2,513,3,6,158,0,7
"8",1,2,3,6,1,1,2,1,2,0,1,348,1,2,5,1,1,1,1,1,0,4
"9",5,3,285,3,0,0,8,0,5,0,1,20,8,6,5,1,2,4,1,0,0,1
"10",14,1,3,1,0,1,8,160,2,0,0,0,7,2,0,1,4,3,2,0,1,1
"11",4,5,5,4,3,1,5,0,2,3,2,3,4,5,0,2,2,0,799,0,0,5
"12",4,3,1,2,1,0,1,2,2,2,2,6,117,3,2,262,0,1,2,0,1,7
"13",3,4,1,270,2,1,4,1,4,3,0,5,2,9,1,168,1,0,2,1,1,2
"14",8,6,2,8,307,1,4,0,4,5,1,5,2,6,4,1,1,2,3,0,0,5
"15",661,0,3,2,2,0,3,2,2,1,2,4,2,4,2,1,0,1,0,0,0,3
"16",3,3,33,2,1,2,1,3,3,1,171,2,4,5,0,0,0,1,2,1,0,1
"17",5,6,3,3,4,1,1,5,2,2,5,10,8,3,99,1,3,1,4,1,153,5
"18",3,3,3,5,1,0,1,2,1,6,3,2,4,2,1,1,101,1,2,22,0,6
"19",3,1,2,2,0,1,2,0,404,9,2,1,3,36,2,1,3,1,1,0,0,2
"20",3,4,1,1,0,0,5,1,1,1,1,552,3,2,1,0,2,0,0,0,0,1
"21",281,5,1,4,0,1,2,0,3,0,2,6,3,42,2,0,0,1,1,0,2,3
"22",7,0,2,2,0,0,2,1,0,3,1,3,2,0,3,1,0,279,2,0,0,2
"23",4,4,5,2,0,0,1,0,223,2,1,1,3,3,2,2,1,3,0,2,0,1
"24",5,6,7,1,0,208,2,2,2,1,0,2,2,2,6,2,1,0,3,1,0,2
"25",16,1,1,1,1,0,0,2,1,1,1,1,2,2,0,50,1,141,1,0,0,2
"26",2,91,1,0,0,0,2,0,0,1,0,3,2,12,6,2,1,2,1,0,0,2
"X",11,10,14,5,1,1,1,5,7,2,5,11,7,18,7,6,13,5,3,1,4,552
