"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Y","X"
"1",5,0,39,46,42,3,1,0,116,2,188,2,143,1,1,0,0,9,0,86
"2",58,7,2,206,0,70,73,1,84,65,0,2,103,1,1,33,0,85,0,0
"3",318,3,206,0,0,0,100,0,25,52,1,1,0,64,10,0,52,0,0,0
"4",0,0,20,0,1,0,1,351,0,0,0,1,0,15,37,0,33,0,0,0
"5",127,225,0,0,0,0,188,0,12,0,0,0,0,1,0,0,0,0,0,0
"6",1,0,2,3,0,0,1,0,0,0,1,0,0,318,0,0,0,0,0,0
"7",0,1,0,0,2,0,1,1,0,0,0,0,33,0,278,0,0,0,0,0
"8",4,0,0,65,0,121,0,0,19,17,0,0,0,0,0,0,1,0,0,1
"9",0,0,1,0,0,1,0,0,0,0,0,2,192,1,72,0,1,0,0,0
"10",153,0,0,0,0,0,104,0,0,0,0,0,0,1,0,0,0,0,0,0
"11",0,0,0,1,1,175,2,0,0,1,0,0,1,0,0,0,0,0,0,0
"12",0,0,14,1,0,0,2,0,2,0,0,0,203,1,0,0,0,1,0,3
"13",0,129,1,0,0,0,1,0,0,0,0,0,1,0,0,60,0,0,0,0
"14",1,0,206,2,0,1,0,1,0,7,0,6,1,2,0,0,0,0,0,2
"15",0,0,0,0,0,0,0,0,1,0,0,0,0,235,0,0,0,0,0,0
"1A",0,1,1,1,366,0,1,0,38,27,0,0,0,0,0,0,0,92,0,1
"24",0,0,0,0,0,1,0,0,115,0,1,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,1,0,159,1,0,0,0,0,0,0,0
"1B",1,0,0,0,0,1,0,0,12,0,0,0,9,0,0,0,0,0,0,0
"20",3,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,177,0,0,0
"21",0,0,0,0,0,94,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"22",0,0,19,0,0,0,1,0,0,0,0,0,0,15,15,0,16,9,0,0
"23",0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LG2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1,0,0,33,0,0,38,0,19,23,0,0,0,1,0,0,0,0,0,0
"27",0,0,0,0,1,0,5,0,1,0,0,117,0,0,0,0,0,0,0,1
"28",0,126,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Un",10,45,29,47,55,38,15,3,15,2,0,26,9,10,3,4,5,4,0,9
"Z",168,132,1,0,2,6,1,5,1,53,0,1,1,10,3,109,5,0,0,0
"4A",1,1,0,2,0,0,0,0,1,0,1,1,2,1,0,0,1,0,0,168
"17",168,0,1,0,0,2,3,1,0,0,0,0,2,0,0,0,0,0,0,0
"19",0,0,49,0,0,1,0,0,0,0,0,127,0,0,0,0,0,0,0,0
